countryiso3code,date,value
,1960.0,3032156070.0
,1961.0,3071596055.0
,1962.0,3124561005.0
,1963.0,3189655687.0
,1964.0,3255145692.0
,1965.0,3322046795.0
,1966.0,3392097729.0
,1967.0,3461619724.0
,1968.0,3532782993.0
,1969.0,3606553753.0
,1970.0,3681975908.0
,1971.0,3760516757.0
,1972.0,3836900801.0
,1973.0,3912984371.0
,1974.0,3988487336.0
,1975.0,4062507027.0
,1976.0,4135432265.0
,1977.0,4207786422.0
,1978.0,4281339378.0
,1979.0,4356778367.0
,1980.0,4432963653.0
,1981.0,4511164132.0
,1982.0,4592387213.0
,1983.0,4674330282.0
,1984.0,4755996689.0
,1985.0,4839176734.0
,1986.0,4924747934.0
,1987.0,5012556248.0
,1988.0,5101287675.0
,1989.0,5189977062.0
,1990.0,5280046096.0
,1991.0,5368139468.0
,1992.0,5452576447.0
,1993.0,5537885552.0
,1994.0,5622085788.0
,1995.0,5706753900.0
,1996.0,5789655609.0
,1997.0,5872286683.0
,1998.0,5954005906.0
,1999.0,6034491620.0
,2000.0,6114332517.0
,2001.0,6193671694.0
,2002.0,6272753009.0
,2003.0,6351882385.0
,2004.0,6431551721.0
,2005.0,6511748273.0
,2006.0,6592734559.0
,2007.0,6674203697.0
,2008.0,6757020825.0
,2009.0,6839574233.0
,2010.0,6921877071.0
,2011.0,7002880914.0
,2012.0,7085790438.0
,2013.0,7169675197.0
,2014.0,7254292848.0
,2015.0,7339076654.0
,2016.0,7424484741.0
,2017.0,7509410228.0
,2018.0,7592475615.0
,2019.0,7673345391.0
,2020.0,7752840547.0
ABW,1960.0,54208.0
ABW,1961.0,55434.0
ABW,1962.0,56234.0
ABW,1963.0,56699.0
ABW,1964.0,57029.0
ABW,1965.0,57357.0
ABW,1966.0,57702.0
ABW,1967.0,58044.0
ABW,1968.0,58377.0
ABW,1969.0,58734.0
ABW,1970.0,59070.0
ABW,1971.0,59442.0
ABW,1972.0,59849.0
ABW,1973.0,60236.0
ABW,1974.0,60527.0
ABW,1975.0,60653.0
ABW,1976.0,60586.0
ABW,1977.0,60366.0
ABW,1978.0,60102.0
ABW,1979.0,59972.0
ABW,1980.0,60097.0
ABW,1981.0,60561.0
ABW,1982.0,61341.0
ABW,1983.0,62213.0
ABW,1984.0,62826.0
ABW,1985.0,63024.0
ABW,1986.0,62645.0
ABW,1987.0,61838.0
ABW,1988.0,61072.0
ABW,1989.0,61033.0
ABW,1990.0,62152.0
ABW,1991.0,64623.0
ABW,1992.0,68240.0
ABW,1993.0,72495.0
ABW,1994.0,76705.0
ABW,1995.0,80324.0
ABW,1996.0,83211.0
ABW,1997.0,85450.0
ABW,1998.0,87280.0
ABW,1999.0,89009.0
ABW,2000.0,90866.0
ABW,2001.0,92892.0
ABW,2002.0,94992.0
ABW,2003.0,97016.0
ABW,2004.0,98744.0
ABW,2005.0,100028.0
ABW,2006.0,100830.0
ABW,2007.0,101226.0
ABW,2008.0,101362.0
ABW,2009.0,101452.0
ABW,2010.0,101665.0
ABW,2011.0,102050.0
ABW,2012.0,102565.0
ABW,2013.0,103165.0
ABW,2014.0,103776.0
ABW,2015.0,104339.0
ABW,2016.0,104865.0
ABW,2017.0,105361.0
ABW,2018.0,105846.0
ABW,2019.0,106310.0
ABW,2020.0,106766.0
AFE,1960.0,227233184.0
AFE,1961.0,232567007.0
AFE,1962.0,238121604.0
AFE,1963.0,243893375.0
AFE,1964.0,249873656.0
AFE,1965.0,256059849.0
AFE,1966.0,262454482.0
AFE,1967.0,269072404.0
AFE,1968.0,275937546.0
AFE,1969.0,283080501.0
AFE,1970.0,290526233.0
AFE,1971.0,298284475.0
AFE,1972.0,306359650.0
AFE,1973.0,314761504.0
AFE,1974.0,323500333.0
AFE,1975.0,332583481.0
AFE,1976.0,342018937.0
AFE,1977.0,351808760.0
AFE,1978.0,361939456.0
AFE,1979.0,372404237.0
AFE,1980.0,383188215.0
AFE,1981.0,394281992.0
AFE,1982.0,405688898.0
AFE,1983.0,417425712.0
AFE,1984.0,429521914.0
AFE,1985.0,441988004.0
AFE,1986.0,454835677.0
AFE,1987.0,468053103.0
AFE,1988.0,481594337.0
AFE,1989.0,495407422.0
AFE,1990.0,509451875.0
AFE,1991.0,523726960.0
AFE,1992.0,538246439.0
AFE,1993.0,553020385.0
AFE,1994.0,568072070.0
AFE,1995.0,583413287.0
AFE,1996.0,599067774.0
AFE,1997.0,615054341.0
AFE,1998.0,631400703.0
AFE,1999.0,648148338.0
AFE,2000.0,665327588.0
AFE,2001.0,682956023.0
AFE,2002.0,701066197.0
AFE,2003.0,719716165.0
AFE,2004.0,738983247.0
AFE,2005.0,758924664.0
AFE,2006.0,779566846.0
AFE,2007.0,800908567.0
AFE,2008.0,822945490.0
AFE,2009.0,845655209.0
AFE,2010.0,869025115.0
AFE,2011.0,893045863.0
AFE,2012.0,917725880.0
AFE,2013.0,943039474.0
AFE,2014.0,968958352.0
AFE,2015.0,995458498.0
AFE,2016.0,1022530245.0
AFE,2017.0,1050162810.0
AFE,2018.0,1078319512.0
AFE,2019.0,1106957870.0
AFE,2020.0,1136046775.0
AFG,1960.0,8996967.0
AFG,1961.0,9169406.0
AFG,1962.0,9351442.0
AFG,1963.0,9543200.0
AFG,1964.0,9744772.0
AFG,1965.0,9956318.0
AFG,1966.0,10174840.0
AFG,1967.0,10399936.0
AFG,1968.0,10637064.0
AFG,1969.0,10893772.0
AFG,1970.0,11173654.0
AFG,1971.0,11475450.0
AFG,1972.0,11791222.0
AFG,1973.0,12108963.0
AFG,1974.0,12412960.0
AFG,1975.0,12689164.0
AFG,1976.0,12943093.0
AFG,1977.0,13171294.0
AFG,1978.0,13341199.0
AFG,1979.0,13411060.0
AFG,1980.0,13356500.0
AFG,1981.0,13171679.0
AFG,1982.0,12882518.0
AFG,1983.0,12537732.0
AFG,1984.0,12204306.0
AFG,1985.0,11938204.0
AFG,1986.0,11736177.0
AFG,1987.0,11604538.0
AFG,1988.0,11618008.0
AFG,1989.0,11868873.0
AFG,1990.0,12412311.0
AFG,1991.0,13299016.0
AFG,1992.0,14485543.0
AFG,1993.0,15816601.0
AFG,1994.0,17075728.0
AFG,1995.0,18110662.0
AFG,1996.0,18853444.0
AFG,1997.0,19357126.0
AFG,1998.0,19737770.0
AFG,1999.0,20170847.0
AFG,2000.0,20779957.0
AFG,2001.0,21606992.0
AFG,2002.0,22600774.0
AFG,2003.0,23680871.0
AFG,2004.0,24726689.0
AFG,2005.0,25654274.0
AFG,2006.0,26433058.0
AFG,2007.0,27100542.0
AFG,2008.0,27722281.0
AFG,2009.0,28394806.0
AFG,2010.0,29185511.0
AFG,2011.0,30117411.0
AFG,2012.0,31161378.0
AFG,2013.0,32269592.0
AFG,2014.0,33370804.0
AFG,2015.0,34413603.0
AFG,2016.0,35383028.0
AFG,2017.0,36296111.0
AFG,2018.0,37171922.0
AFG,2019.0,38041757.0
AFG,2020.0,38928341.0
AGO,1960.0,5454938.0
AGO,1961.0,5531451.0
AGO,1962.0,5608499.0
AGO,1963.0,5679409.0
AGO,1964.0,5734995.0
AGO,1965.0,5770573.0
AGO,1966.0,5781305.0
AGO,1967.0,5774440.0
AGO,1968.0,5771973.0
AGO,1969.0,5803677.0
AGO,1970.0,5890360.0
AGO,1971.0,6041239.0
AGO,1972.0,6248965.0
AGO,1973.0,6497283.0
AGO,1974.0,6761623.0
AGO,1975.0,7023994.0
AGO,1976.0,7279630.0
AGO,1977.0,7533814.0
AGO,1978.0,7790774.0
AGO,1979.0,8058112.0
AGO,1980.0,8341290.0
AGO,1981.0,8640478.0
AGO,1982.0,8952971.0
AGO,1983.0,9278104.0
AGO,1984.0,9614756.0
AGO,1985.0,9961993.0
AGO,1986.0,10320116.0
AGO,1987.0,10689247.0
AGO,1988.0,11068051.0
AGO,1989.0,11454784.0
AGO,1990.0,11848385.0
AGO,1991.0,12248901.0
AGO,1992.0,12657361.0
AGO,1993.0,13075044.0
AGO,1994.0,13503753.0
AGO,1995.0,13945205.0
AGO,1996.0,14400722.0
AGO,1997.0,14871572.0
AGO,1998.0,15359600.0
AGO,1999.0,15866871.0
AGO,2000.0,16395477.0
AGO,2001.0,16945753.0
AGO,2002.0,17519418.0
AGO,2003.0,18121477.0
AGO,2004.0,18758138.0
AGO,2005.0,19433604.0
AGO,2006.0,20149905.0
AGO,2007.0,20905360.0
AGO,2008.0,21695636.0
AGO,2009.0,22514275.0
AGO,2010.0,23356247.0
AGO,2011.0,24220660.0
AGO,2012.0,25107925.0
